ward_code,ward_name,index_domain,ward_average_score,ward_average_score_rank
E05015239,Altrincham,Barriers to Housing and Services,9.892284281563407,11
E05015239,Altrincham,Crime,-0.23674749273596404,13
E05015239,Altrincham,"Education, Skills and Training",1.0723088386915363,19
E05015239,Altrincham,Employment,0.05124767755468984,20
E05015239,Altrincham,Health and Disability,-1.0546298622176398,19
E05015239,Altrincham,Income,0.07237238729028025,18
E05015239,Altrincham,Income Deprivation Affecting Children,0.07838621340887629,18
E05015239,Altrincham,Income Deprivation Affecting Older People,0.08412327044025156,18
E05015239,Altrincham,Index of Multiple Deprivation,5.437117817977318,19
E05015239,Altrincham,Living Environment,21.970793982566313,13
E05015240,Ashton upon Mersey,Barriers to Housing and Services,7.500391169100492,19
E05015240,Ashton upon Mersey,Crime,-0.33531080964313487,15
E05015240,Ashton upon Mersey,"Education, Skills and Training",2.7575838589821133,15
E05015240,Ashton upon Mersey,Employment,0.08592890716803761,14
E05015240,Ashton upon Mersey,Health and Disability,-0.3344265099801262,12
E05015240,Ashton upon Mersey,Income,0.09816357037933121,16
E05015240,Ashton upon Mersey,Income Deprivation Affecting Children,0.08494559800664452,17
E05015240,Ashton upon Mersey,Income Deprivation Affecting Older People,0.1147935871743487,13
E05015240,Ashton upon Mersey,Index of Multiple Deprivation,9.618657219389958,13
E05015240,Ashton upon Mersey,Living Environment,30.365997062127366,7
E05015241,Bowdon,Barriers to Housing and Services,16.58891137614679,3
E05015241,Bowdon,Crime,-0.3826508256880735,16
E05015241,Bowdon,"Education, Skills and Training",2.87528256880734,14
E05015241,Bowdon,Employment,0.07579389686684072,15
E05015241,Bowdon,Health and Disability,-0.7816192660550458,17
E05015241,Bowdon,Income,0.10179559633027524,15
E05015241,Bowdon,Income Deprivation Affecting Children,0.13043486682808716,13
E05015241,Bowdon,Income Deprivation Affecting Older People,0.0887941001191895,16
E05015241,Bowdon,Index of Multiple Deprivation,9.258487155963302,15
E05015241,Bowdon,Living Environment,24.832932293577983,11
E05015242,Broadheath,Barriers to Housing and Services,13.954787173139406,5
E05015242,Broadheath,Crime,-0.4039502552993966,17
E05015242,Broadheath,"Education, Skills and Training",5.160237196348445,13
E05015242,Broadheath,Employment,0.07262961523513409,17
E05015242,Broadheath,Health and Disability,-0.7645787559956676,15
E05015242,Broadheath,Income,0.10994832121305895,12
E05015242,Broadheath,Income Deprivation Affecting Children,0.13053635204081634,12
E05015242,Broadheath,Income Deprivation Affecting Older People,0.11638391801340164,12
E05015242,Broadheath,Index of Multiple Deprivation,7.519959693640724,16
E05015242,Broadheath,Living Environment,11.4837317809067,18
E05015243,Brooklands,Barriers to Housing and Services,6.953173632218845,20
E05015243,Brooklands,Crime,-0.7596439019756839,21
E05015243,Brooklands,"Education, Skills and Training",0.8941699278115501,20
E05015243,Brooklands,Employment,0.05714780600461894,18
E05015243,Brooklands,Health and Disability,-0.8881300341945289,18
E05015243,Brooklands,Income,0.06811198708206687,20
E05015243,Brooklands,Income Deprivation Affecting Children,0.0735,19
E05015243,Brooklands,Income Deprivation Affecting Older People,0.07592538405267008,19
E05015243,Brooklands,Index of Multiple Deprivation,4.588391147416413,21
E05015243,Brooklands,Living Environment,16.88456003039514,14
E05015244,Bucklow-St Martins,Barriers to Housing and Services,23.434627577189985,1
E05015244,Bucklow-St Martins,Crime,0.7202894498642263,1
E05015244,Bucklow-St Martins,"Education, Skills and Training",36.58014884843608,1
E05015244,Bucklow-St Martins,Employment,0.27448122695273214,1
E05015244,Bucklow-St Martins,Health and Disability,1.0239514231117368,1
E05015244,Bucklow-St Martins,Income,0.44143306849039526,1
E05015244,Bucklow-St Martins,Income Deprivation Affecting Children,0.6242801507537689,1
E05015244,Bucklow-St Martins,Income Deprivation Affecting Older People,0.2989335232668566,2
E05015244,Bucklow-St Martins,Index of Multiple Deprivation,41.26637946293875,1
E05015244,Bucklow-St Martins,Living Environment,7.657426631801267,21
E05015245,Davyhulme,Barriers to Housing and Services,9.83913507663001,12
E05015245,Davyhulme,Crime,-0.12020633821110054,12
E05015245,Davyhulme,"Education, Skills and Training",11.28516096631743,8
E05015245,Davyhulme,Employment,0.10268008817046288,12
E05015245,Davyhulme,Health and Disability,-0.20565607411897133,10
E05015245,Davyhulme,Income,0.12859364447138277,11
E05015245,Davyhulme,Income Deprivation Affecting Children,0.17386515353805074,10
E05015245,Davyhulme,Income Deprivation Affecting Older People,0.10305827067669172,14
E05015245,Davyhulme,Index of Multiple Deprivation,11.761625595289635,12
E05015245,Davyhulme,Living Environment,16.586671313533635,15
E05015246,Flixton,Barriers to Housing and Services,8.649887254499138,16
E05015246,Flixton,Crime,-0.33480179143725863,14
E05015246,Flixton,"Education, Skills and Training",5.388979209466678,12
E05015246,Flixton,Employment,0.08723839137645108,13
E05015246,Flixton,Health and Disability,-0.2302824389843044,11
E05015246,Flixton,Income,0.10190615498397566,14
E05015246,Flixton,Income Deprivation Affecting Children,0.11163385464581416,14
E05015246,Flixton,Income Deprivation Affecting Older People,0.1005148709315376,15
E05015246,Flixton,Index of Multiple Deprivation,9.50643175281453,14
E05015246,Flixton,Living Environment,25.280736214972475,10
E05015247,Gorse Hill & Cornbrook,Barriers to Housing and Services,12.63674409448819,7
E05015247,Gorse Hill & Cornbrook,Crime,0.5040666830708661,2
E05015247,Gorse Hill & Cornbrook,"Education, Skills and Training",16.94591904527559,4
E05015247,Gorse Hill & Cornbrook,Employment,0.1629430129990715,5
E05015247,Gorse Hill & Cornbrook,Health and Disability,0.4250344488188976,3
E05015247,Gorse Hill & Cornbrook,Income,0.30044463582677167,3
E05015247,Gorse Hill & Cornbrook,Income Deprivation Affecting Children,0.4616588861588862,3
E05015247,Gorse Hill & Cornbrook,Income Deprivation Affecting Older People,0.2724904793171372,4
E05015247,Gorse Hill & Cornbrook,Index of Multiple Deprivation,25.773588090551183,3
E05015247,Gorse Hill & Cornbrook,Living Environment,38.1937155511811,3
E05015248,Hale,Barriers to Housing and Services,9.008928876649891,15
E05015248,Hale,Crime,-0.48468293609343843,18
E05015248,Hale,"Education, Skills and Training",0.717218497768493,21
E05015248,Hale,Employment,0.044593365519389506,21
E05015248,Hale,Health and Disability,-1.1688533852435665,20
E05015248,Hale,Income,0.06496847402905707,21
E05015248,Hale,Income Deprivation Affecting Children,0.06916585956416466,21
E05015248,Hale,Income Deprivation Affecting Older People,0.0714109785202864,21
E05015248,Hale,Index of Multiple Deprivation,5.72073516285253,18
E05015248,Hale,Living Environment,31.12953850536511,6
E05015249,Hale Barns & Timperley South,Barriers to Housing and Services,20.43510164917541,2
E05015249,Hale Barns & Timperley South,Crime,-0.6081562218890555,20
E05015249,Hale Barns & Timperley South,"Education, Skills and Training",2.012516141929036,18
E05015249,Hale Barns & Timperley South,Employment,0.05585999254287845,19
E05015249,Hale Barns & Timperley South,Health and Disability,-1.3941885057471266,21
E05015249,Hale Barns & Timperley South,Income,0.07203558220889555,19
E05015249,Hale Barns & Timperley South,Income Deprivation Affecting Children,0.07217613636363639,20
E05015249,Hale Barns & Timperley South,Income Deprivation Affecting Older People,0.07578791901759044,20
E05015249,Hale Barns & Timperley South,Index of Multiple Deprivation,5.27931604197901,20
E05015249,Hale Barns & Timperley South,Living Environment,7.6909483258370805,20
