ward_code,ward_name,index_domain,ward_average_score,ward_average_score_rank
E05015250,Longford,Barriers to Housing and Services,11.261776173979985,10
E05015250,Longford,Crime,0.4196949576597382,4
E05015250,Longford,"Education, Skills and Training",16.891871343341034,5
E05015250,Longford,Employment,0.16774473603906012,4
E05015250,Longford,Health and Disability,0.22567523094688227,4
E05015250,Longford,Income,0.27636229792147804,4
E05015250,Longford,Income Deprivation Affecting Children,0.34427595884003737,5
E05015250,Longford,Income Deprivation Affecting Older People,0.28334735413839895,3
E05015250,Longford,Index of Multiple Deprivation,23.262190531177826,4
E05015250,Longford,Living Environment,27.16094620862202,8
E05015251,Lostock & Barton,Barriers to Housing and Services,12.781675709726185,6
E05015251,Lostock & Barton,Crime,0.06512926255669409,8
E05015251,Lostock & Barton,"Education, Skills and Training",15.015100789517891,6
E05015251,Lostock & Barton,Employment,0.13566227369542064,7
E05015251,Lostock & Barton,Health and Disability,0.03197077103981186,7
E05015251,Lostock & Barton,Income,0.21366294305392236,6
E05015251,Lostock & Barton,Income Deprivation Affecting Children,0.31780063542494036,6
E05015251,Lostock & Barton,Income Deprivation Affecting Older People,0.14524571651090346,9
E05015251,Lostock & Barton,Index of Multiple Deprivation,18.210689400302368,7
E05015251,Lostock & Barton,Living Environment,26.101257685200743,9
E05015252,Manor,Barriers to Housing and Services,11.291399896694214,9
E05015252,Manor,Crime,0.12270041322314051,6
E05015252,Manor,"Education, Skills and Training",17.62460433884298,3
E05015252,Manor,Employment,0.1766333739342266,3
E05015252,Manor,Health and Disability,-0.010552995867768615,8
E05015252,Manor,Income,0.2720294421487603,5
E05015252,Manor,Income Deprivation Affecting Children,0.3696570862239842,4
E05015252,Manor,Income Deprivation Affecting Older People,0.1813046623794212,7
E05015252,Manor,Index of Multiple Deprivation,22.52658388429752,5
E05015252,Manor,Living Environment,7.772702685950414,19
E05015253,Old Trafford,Barriers to Housing and Services,15.841038344691682,4
E05015253,Old Trafford,Crime,0.4586087527711635,3
E05015253,Old Trafford,"Education, Skills and Training",21.253862878725673,2
E05015253,Old Trafford,Employment,0.20020669631826046,2
E05015253,Old Trafford,Health and Disability,0.7455898678052386,2
E05015253,Old Trafford,Income,0.391602430413006,2
E05015253,Old Trafford,Income Deprivation Affecting Children,0.48183656307129796,2
E05015253,Old Trafford,Income Deprivation Affecting Older People,0.47356009334889143,1
E05015253,Old Trafford,Index of Multiple Deprivation,34.04107915263979,2
E05015253,Old Trafford,Living Environment,44.09772198045816,1
E05015254,Sale Central,Barriers to Housing and Services,8.487949500172354,17
E05015254,Sale Central,Crime,-0.05676568424681145,10
E05015254,Sale Central,"Education, Skills and Training",2.020598759048604,17
E05015254,Sale Central,Employment,0.10291284530386739,11
E05015254,Sale Central,Health and Disability,-0.466556101344364,14
E05015254,Sale Central,Income,0.10734962082040675,13
E05015254,Sale Central,Income Deprivation Affecting Children,0.09728479485116655,16
E05015254,Sale Central,Income Deprivation Affecting Older People,0.13761469387755101,10
E05015254,Sale Central,Index of Multiple Deprivation,12.248004395036194,11
E05015254,Sale Central,Living Environment,37.2108225611858,4
E05015255,Sale Moor,Barriers to Housing and Services,7.665827092404451,18
E05015255,Sale Moor,Crime,0.06631223996129652,7
E05015255,Sale Moor,"Education, Skills and Training",10.301997774552492,9
E05015255,Sale Moor,Employment,0.13243423999999998,8
E05015255,Sale Moor,Health and Disability,-0.12914929850024187,9
E05015255,Sale Moor,Income,0.19624663763909045,8
E05015255,Sale Moor,Income Deprivation Affecting Children,0.2341348071087993,8
E05015255,Sale Moor,Income Deprivation Affecting Older People,0.18935796460176993,6
E05015255,Sale Moor,Index of Multiple Deprivation,16.522372230285438,8
E05015255,Sale Moor,Living Environment,22.22051465892598,12
E05015256,Stretford & Humphrey Park,Barriers to Housing and Services,9.533538015034733,14
E05015256,Stretford & Humphrey Park,Crime,0.26203035493386617,5
E05015256,Stretford & Humphrey Park,"Education, Skills and Training",11.37384984299172,7
E05015256,Stretford & Humphrey Park,Employment,0.1393797299302567,6
E05015256,Stretford & Humphrey Park,Health and Disability,0.11722133409458559,6
E05015256,Stretford & Humphrey Park,Income,0.2061936435436293,7
E05015256,Stretford & Humphrey Park,Income Deprivation Affecting Children,0.25561222540592166,7
E05015256,Stretford & Humphrey Park,Income Deprivation Affecting Older People,0.19421703296703297,5
E05015256,Stretford & Humphrey Park,Index of Multiple Deprivation,19.959110191264628,6
E05015256,Stretford & Humphrey Park,Living Environment,42.70945684651251,2
E05015257,Timperley Central,Barriers to Housing and Services,12.492024353004046,8
E05015257,Timperley Central,Crime,-0.06725872203985037,11
E05015257,Timperley Central,"Education, Skills and Training",8.77757966256966,10
E05015257,Timperley Central,Employment,0.115623550040464,9
E05015257,Timperley Central,Health and Disability,-0.4107190625238567,13
E05015257,Timperley Central,Income,0.16420238186121075,9
E05015257,Timperley Central,Income Deprivation Affecting Children,0.2203792977322604,9
E05015257,Timperley Central,Income Deprivation Affecting Older People,0.1254061640066043,11
E05015257,Timperley Central,Index of Multiple Deprivation,13.392130849683182,10
E05015257,Timperley Central,Living Environment,15.371080082449044,16
E05015258,Timperley North,Barriers to Housing and Services,9.81780931753167,13
E05015258,Timperley North,Crime,-0.575497915815284,19
E05015258,Timperley North,"Education, Skills and Training",2.7005153248876175,16
E05015258,Timperley North,Employment,0.07557049448304044,16
E05015258,Timperley North,Health and Disability,-0.7788385778504291,16
E05015258,Timperley North,Income,0.08940514916223946,17
E05015258,Timperley North,Income Deprivation Affecting Children,0.09865284773343666,15
E05015258,Timperley North,Income Deprivation Affecting Older People,0.08777342419080068,17
E05015258,Timperley North,Index of Multiple Deprivation,6.487520719248058,17
E05015258,Timperley North,Living Environment,13.153418062934206,17
E05015259,Urmston,Barriers to Housing and Services,6.360545834399249,21
E05015259,Urmston,Crime,0.023679713481708883,9
E05015259,Urmston,"Education, Skills and Training",5.818617719791932,11
E05015259,Urmston,Employment,0.11468080077853468,10
E05015259,Urmston,Health and Disability,0.16208859895966574,5
E05015259,Urmston,Income,0.14110659162616185,10
E05015259,Urmston,Income Deprivation Affecting Children,0.1371167487684729,11
E05015259,Urmston,Income Deprivation Affecting Older People,0.17373661538461538,8
E05015259,Urmston,Index of Multiple Deprivation,14.456590347062335,9
E05015259,Urmston,Living Environment,33.21695122367186,5
