"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x4706367261","x1203979647953887232",2019-12-09 10:08:11,"OneTrafford","@CoopCamers @loveoldtrafford @TraffordCouncil @AnneDuffield1 Hi there, this was removed on Saturday afternoon. Thanks","Twitter Web App",56,"x1202969741071134720","x4706367261","OneTrafford",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x335870927 x2271698804 x63794948 x20311715","CoopCamers loveoldtrafford TraffordCouncil AnneDuffield1","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OneTrafford/status/1203979647953887232","One Trafford","","Official page of the One Trafford Partnership. This page is monitored Mon-Fri, 9am-5pm. To report a service request, please visit https://t.co/HA41sK5Xvd",,FALSE,2738,431,14,6213,2540,2016-01-04 16:30:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/4706367261/1576501741",,"http://pbs.twimg.com/profile_images/782896896167841792/e0h45GH3_normal.jpg"
"x4706367261","x1206530762738151424",2019-12-16 11:05:24,"OneTrafford","Pupils @AcreHall design #Xmas cards launching #UrmstonActiveNeighbourhood #walking &amp; #cycling scheme in #Trafford. Look out for for your card invite in the post to launch event on Thurs 23 Jan, 2020, 7-9pm https://t.co/gAgHMCS6uR @SteveAdshead  @TraffordCouncil @OfficialTfGM https://t.co/3GSw3DwUyz","Twitter Web App",279,,,,FALSE,FALSE,10,6,,,"Xmas UrmstonActiveNeighbourhood walking cycling Trafford",,"bit.ly/38LDOSL","https://t.co/gAgHMCS6uR","http://bit.ly/38LDOSL","http://pbs.twimg.com/media/EL51UH0X0AItZOA.jpg","https://t.co/3GSw3DwUyz","https://twitter.com/OneTrafford/status/1206530762738151424/photo/1","photo","http://pbs.twimg.com/media/EL51UH0X0AItZOA.jpg","https://t.co/3GSw3DwUyz","https://twitter.com/OneTrafford/status/1206530762738151424/photo/1",,"x2999658677 x138522970 x63794948 x262687993","AcreHall SteveAdshead TraffordCouncil OfficialTfGM","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OneTrafford/status/1206530762738151424","One Trafford","","Official page of the One Trafford Partnership. This page is monitored Mon-Fri, 9am-5pm. To report a service request, please visit https://t.co/HA41sK5Xvd",,FALSE,2738,431,14,6213,2540,2016-01-04 16:30:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/4706367261/1576501741",,"http://pbs.twimg.com/profile_images/782896896167841792/e0h45GH3_normal.jpg"
"x4706367261","x1206532228672577537",2019-12-16 11:11:14,"OneTrafford","@whereswallyJ @TraffordCouncil Hi there, I'm sorry about this. The automatic response that you received incorrect. We are aware of your missed collection. This has been escalated for you. Thank you","Twitter Web App",166,"x1205542189729796096","x416192925","whereswallyJ",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x416192925 x63794948","whereswallyJ TraffordCouncil","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OneTrafford/status/1206532228672577537","One Trafford","","Official page of the One Trafford Partnership. This page is monitored Mon-Fri, 9am-5pm. To report a service request, please visit https://t.co/HA41sK5Xvd",,FALSE,2738,431,14,6213,2540,2016-01-04 16:30:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/4706367261/1576501741",,"http://pbs.twimg.com/profile_images/782896896167841792/e0h45GH3_normal.jpg"
"x4706367261","x1206568426661171200",2019-12-16 13:35:04,"OneTrafford","Have your say in creating more cycling and walking routes. Come and tell us about the changes, the approach and solutions that you would like to see at launch event Thurs 23 Jan 7-9pm @venueurmston Register https://t.co/2GEen2o6SB 

#UrmstonActiveNeighbourhood @TraffordCouncil https://t.co/L5wNMpn08d","Hootsuite Inc.",277,,,,FALSE,FALSE,3,5,,,"UrmstonActiveNeighbourhood",,"bit.ly/2Ep2F0J","https://t.co/2GEen2o6SB","http://bit.ly/2Ep2F0J","http://pbs.twimg.com/media/EL6Xlt6WsAEVT96.jpg","https://t.co/L5wNMpn08d","https://twitter.com/OneTrafford/status/1206568426661171200/photo/1","photo","http://pbs.twimg.com/media/EL6Xlt6WsAEVT96.jpg","https://t.co/L5wNMpn08d","https://twitter.com/OneTrafford/status/1206568426661171200/photo/1",,"x781527824582729728 x63794948","venueurmston TraffordCouncil","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OneTrafford/status/1206568426661171200","One Trafford","","Official page of the One Trafford Partnership. This page is monitored Mon-Fri, 9am-5pm. To report a service request, please visit https://t.co/HA41sK5Xvd",,FALSE,2738,431,14,6213,2540,2016-01-04 16:30:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/4706367261/1576501741",,"http://pbs.twimg.com/profile_images/782896896167841792/e0h45GH3_normal.jpg"
"x4706367261","x1204377146594082816",2019-12-10 12:27:42,"OneTrafford","@croquetfgarcia @TraffordMayor @TraffordCouncil @SirGrahamBrady Hi Francois, please can you DM your address details over and I will chase this up with the team for you. Thanks","Twitter Web App",111,"x1204376525749071872","x352602236","croquetfgarcia",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x352602236 x1042441514276802562 x63794948 x1136266851883859968","croquetfgarcia TraffordMayor TraffordCouncil SirGrahamBrady","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OneTrafford/status/1204377146594082816","One Trafford","","Official page of the One Trafford Partnership. This page is monitored Mon-Fri, 9am-5pm. To report a service request, please visit https://t.co/HA41sK5Xvd",,FALSE,2738,431,14,6213,2540,2016-01-04 16:30:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/4706367261/1576501741",,"http://pbs.twimg.com/profile_images/782896896167841792/e0h45GH3_normal.jpg"
"x4706367261","x1206548617856790528",2019-12-16 12:16:21,"OneTrafford","@UrmstonDeb @TraffordCouncil Hi Deb, thank you for making us aware. Please can you DM the location of this and I will flag this up with the team. Thanks","Twitter Web App",123,"x1205545506807713792","x1516155301","UrmstonDeb",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x1516155301 x63794948","UrmstonDeb TraffordCouncil","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/OneTrafford/status/1206548617856790528","One Trafford","","Official page of the One Trafford Partnership. This page is monitored Mon-Fri, 9am-5pm. To report a service request, please visit https://t.co/HA41sK5Xvd",,FALSE,2738,431,14,6213,2540,2016-01-04 16:30:39,FALSE,,,,"https://pbs.twimg.com/profile_banners/4706367261/1576501741",,"http://pbs.twimg.com/profile_images/782896896167841792/e0h45GH3_normal.jpg"
"x171751026","x1206843686295875590",2019-12-17 07:48:51,"dounowhoiam","@StagecoachGM @TraffordCouncil @OfficialTfGM I don't believe that you're the only operator, I've experienced last minute route changes with @arrivanorthwest also due to only being aware of the diversion when getting to the closed road.","Twitter Web App",190,"x1206832662436073473","x2289617978","StagecoachGM",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x2289617978 x63794948 x262687993 x32404588","StagecoachGM TraffordCouncil OfficialTfGM arrivanorthwest","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dounowhoiam/status/1206843686295875590","Dan Simpson","United Kingdom","MancTechie&Voyager",,FALSE,39,67,4,4263,235,2010-07-28 02:30:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/171751026/1554834833","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1175115841605701634/YbOzo4uZ_normal.jpg"
"x171751026","x1206696758711111680",2019-12-16 22:05:01,"dounowhoiam","@StagecoachGM Is it just me or does it seem like @TraffordCouncil doesn't seem to tell about road closures? The 11 has been affected twice in Timperley area with @OfficialTfGM staff instructing drivers on diversion","Twitter Web App",214,,"x2289617978","StagecoachGM",FALSE,FALSE,0,0,,,,,,,,,,,,,,,,"x2289617978 x63794948 x262687993","StagecoachGM TraffordCouncil OfficialTfGM","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/dounowhoiam/status/1206696758711111680","Dan Simpson","United Kingdom","MancTechie&Voyager",,FALSE,39,67,4,4263,235,2010-07-28 02:30:52,FALSE,,,,"https://pbs.twimg.com/profile_banners/171751026/1554834833","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1175115841605701634/YbOzo4uZ_normal.jpg"
"x2335361357","x1206842060306817024",2019-12-17 07:42:23,"meconvery","@MCRCycleSam @TraffordCouncil Thanks Sam, I think I'll switch to Uber just so I can do that. This one was doing over 50 along church road which is a 30 but I'm not going to have a barny when I'm on my own.","Twitter for Android",175,"x1206706255475232770","x992334003805085696","MCRCycleSam",FALSE,FALSE,1,0,,,,,,,,,,,,,,,,"x992334003805085696 x63794948","MCRCycleSam TraffordCouncil","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/meconvery/status/1206842060306817024","Marie Convery","","",,FALSE,68,278,0,1061,2767,2014-02-10 09:48:45,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/772064200827006976/t3AJNJAm_normal.jpg"
"x2335361357","x1206605845548720128",2019-12-16 16:03:45,"meconvery","I think @TraffordCouncil you would catch a lot more if you simplified your reporting system. I take taxis all the time and only one this year has been driven below speed limit but I can't report as the level of detail required is so high! The standard of driving is terrifying. https://t.co/7x0rewYm2V","Twitter for Android",277,,,,TRUE,FALSE,5,1,,,,,"twitter.com/TraffordCounci…","https://t.co/7x0rewYm2V","https://twitter.com/TraffordCouncil/status/1206599694148878337",,,,,,,,,"x63794948","TraffordCouncil","en","x1206599694148878337","A taxi driver has been prosecuted after our licensing enforcement team caught them driving without valid insurance.  

https://t.co/Ye3EJ6CJdQ",2019-12-16 15:39:19,"Twitter Web App",3,2,"x63794948","TraffordCouncil","Trafford Council",19888,708,18143,"Trafford, Greater Manchester","Official TMBC Twitter page. Monitored Mon-Fri 9am-5pm. Report Faults/issues on
https://t.co/VnRA5bXOG4
https://t.co/yi4oMm5KlR
https://t.co/rgFJhFUe21",TRUE,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/meconvery/status/1206605845548720128","Marie Convery","","",,FALSE,68,278,0,1061,2767,2014-02-10 09:48:45,FALSE,,,,,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/772064200827006976/t3AJNJAm_normal.jpg"
