msoa21cd,msoa21nm,index_domain,msoa_average_score,msoa_average_score_rank
E02001266,Lostock & Stretford Meadows,Living Environment,31.30273878087999,9
E02001267,Urmston East,Barriers to Housing and Services,7.151546813862493,25
E02001267,Urmston East,Crime,0.19552934600335384,10
E02001267,Urmston East,"Education, Skills and Training",6.123342509782002,14
E02001267,Urmston East,Employment,0.12334195274186358,12
E02001267,Urmston East,Health and Disability,0.40498728339854667,4
E02001267,Urmston East,Income,0.15988960313024034,13
E02001267,Urmston East,Income Deprivation Affecting Children,0.14437403267411866,13
E02001267,Urmston East,Income Deprivation Affecting Older People,0.21074665981500515,9
E02001267,Urmston East,Index of Multiple Deprivation,17.0723201509223,10
E02001267,Urmston East,Living Environment,38.86586612632756,3
E02001268,Urmston West,Barriers to Housing and Services,7.145416995490417,26
E02001268,Urmston West,Crime,-0.4678814825253665,21
E02001268,Urmston West,"Education, Skills and Training",3.782817361894025,16
E02001268,Urmston West,Employment,0.08109808670380236,16
E02001268,Urmston West,Health and Disability,-0.35283666854565954,16
E02001268,Urmston West,Income,0.08683878241262684,18
E02001268,Urmston West,Income Deprivation Affecting Children,0.08453406421299922,21
E02001268,Urmston West,Income Deprivation Affecting Older People,0.08069355586462681,21
E02001268,Urmston West,Index of Multiple Deprivation,8.103604143179258,17
E02001268,Urmston West,Living Environment,24.8370797632469,15
E02001269,Stretford East,Barriers to Housing and Services,10.159633015336313,14
E02001269,Stretford East,Crime,0.5109490399710179,4
E02001269,Stretford East,"Education, Skills and Training",11.20134887090931,12
E02001269,Stretford East,Employment,0.15364851762073464,8
E02001269,Stretford East,Health and Disability,0.3376023427122329,5
E02001269,Stretford East,Income,0.2356931530008453,9
E02001269,Stretford East,Income Deprivation Affecting Children,0.2984656679151061,9
E02001269,Stretford East,Income Deprivation Affecting Older People,0.2538225335668418,5
E02001269,Stretford East,Index of Multiple Deprivation,23.37044088878155,6
E02001269,Stretford East,Living Environment,43.34248858833474,1
E02001270,Sale North,Barriers to Housing and Services,8.353599560337846,21
E02001270,Sale North,Crime,-0.39158602337151455,19
E02001270,Sale North,"Education, Skills and Training",2.4759903968529446,18
E02001270,Sale North,Employment,0.11832540861812778,13
E02001270,Sale North,Health and Disability,-0.018424968182344022,13
E02001270,Sale North,Income,0.108901885919241,15
E02001270,Sale North,Income Deprivation Affecting Children,0.09261596958174907,19
E02001270,Sale North,Income Deprivation Affecting Older People,0.13428947368421054,14
E02001270,Sale North,Index of Multiple Deprivation,13.488261020479,14
E02001270,Sale North,Living Environment,38.05357665162559,5
E02001271,Ashton upon Mersey North,Barriers to Housing and Services,10.112645347974476,15
E02001271,Ashton upon Mersey North,Crime,0.13767903249740318,11
E02001271,Ashton upon Mersey North,"Education, Skills and Training",13.514279121531384,9
E02001271,Ashton upon Mersey North,Employment,0.1388575682382134,10
E02001271,Ashton upon Mersey North,Health and Disability,0.005830835435524556,12
E02001271,Ashton upon Mersey North,Income,0.19326072117524856,11
E02001271,Ashton upon Mersey North,Income Deprivation Affecting Children,0.2184884196185286,12
E02001271,Ashton upon Mersey North,Income Deprivation Affecting Older People,0.18304747225647347,11
E02001271,Ashton upon Mersey North,Index of Multiple Deprivation,15.80924647573824,13
E02001271,Ashton upon Mersey North,Living Environment,13.600363407033685,23
E02001272,Sale East,Barriers to Housing and Services,6.167947801522967,27
E02001272,Sale East,Crime,-0.3991043969540653,20
E02001272,Sale East,"Education, Skills and Training",1.1270836403831983,25
E02001272,Sale East,Employment,0.06595799373040753,19
E02001272,Sale East,Health and Disability,-0.9066478752149348,22
E02001272,Sale East,Income,0.07439326946696144,22
E02001272,Sale East,Income Deprivation Affecting Children,0.07287664945496271,24
E02001272,Sale East,Income Deprivation Affecting Older People,0.0819500244977952,19
E02001272,Sale East,Index of Multiple Deprivation,6.700666666666667,22
E02001272,Sale East,Living Environment,32.06439105870794,7
E02001273,Sale Central,Barriers to Housing and Services,7.9697735908470655,22
E02001273,Sale Central,Crime,-0.04980014695077152,13
E02001273,Sale Central,"Education, Skills and Training",1.3564691928204051,22
E02001273,Sale Central,Employment,0.07512205604263365,17
E02001273,Sale Central,Health and Disability,-0.7539702949511913,19
E02001273,Sale Central,Income,0.09503810223575103,17
E02001273,Sale Central,Income Deprivation Affecting Children,0.08660477849676457,20
E02001273,Sale Central,Income Deprivation Affecting Older People,0.12324211502782931,16
E02001273,Sale Central,Index of Multiple Deprivation,9.397595360554215,16
E02001273,Sale Central,Living Environment,34.170814317203735,6
E02001274,Ashton upon Mersey South,Barriers to Housing and Services,7.305773886943472,24
E02001274,Ashton upon Mersey South,Crime,-0.623794272136068,24
E02001274,Ashton upon Mersey South,"Education, Skills and Training",1.606127563781891,21
E02001274,Ashton upon Mersey South,Employment,0.06173308957952468,23
E02001274,Ashton upon Mersey South,Health and Disability,-0.800482116058029,20
E02001274,Ashton upon Mersey South,Income,0.07190445222611305,24
E02001274,Ashton upon Mersey South,Income Deprivation Affecting Children,0.08076340482573727,22
E02001274,Ashton upon Mersey South,Income Deprivation Affecting Older People,0.06607256235827665,23
E02001274,Ashton upon Mersey South,Index of Multiple Deprivation,4.652603926963481,24
E02001274,Ashton upon Mersey South,Living Environment,13.730935467733866,22
E02001275,Partington,Barriers to Housing and Services,25.662651236835664,1
E02001275,Partington,Crime,0.7658328434974285,1
E02001275,Partington,"Education, Skills and Training",38.03664229733039,1
E02001275,Partington,Employment,0.2859675753820735,1
E02001275,Partington,Health and Disability,1.1303519470977221,1
E02001275,Partington,Income,0.47090460445750676,1
E02001275,Partington,Income Deprivation Affecting Children,0.6787361809045226,1
E02001275,Partington,Income Deprivation Affecting Older People,0.3019714285714286,3
E02001275,Partington,Index of Multiple Deprivation,44.19396399706099,1
E02001275,Partington,Living Environment,7.177907910849865,27
E02001276,Sale Moor,Barriers to Housing and Services,8.779233555885263,18
E02001276,Sale Moor,Crime,0.22216382294757664,9
E02001276,Sale Moor,"Education, Skills and Training",13.058827645895153,10
E02001276,Sale Moor,Employment,0.1527785151389465,9
E02001276,Sale Moor,Health and Disability,0.17537994559841744,8
E02001276,Sale Moor,Income,0.23723701780415427,8
E02001276,Sale Moor,Income Deprivation Affecting Children,0.2777829742511823,10
E02001276,Sale Moor,Income Deprivation Affecting Older People,0.2371578034682081,6
E02001276,Sale Moor,Index of Multiple Deprivation,19.313865232443124,9
E02001276,Sale Moor,Living Environment,14.667730712166172,20
E02001277,Broadheath & Firsway,Barriers to Housing and Services,17.446990331936835,4
E02001277,Broadheath & Firsway,Crime,0.31115468901063487,6
E02001277,Broadheath & Firsway,"Education, Skills and Training",21.276138790417875,3
E02001277,Broadheath & Firsway,Employment,0.18428352359856878,4
E02001277,Broadheath & Firsway,Health and Disability,0.07864335589214737,11
E02001277,Broadheath & Firsway,Income,0.3131940058008379,3
E02001277,Broadheath & Firsway,Income Deprivation Affecting Children,0.3860582822085889,4
E02001277,Broadheath & Firsway,Income Deprivation Affecting Older People,0.2940871287128713,4
E02001277,Broadheath & Firsway,Index of Multiple Deprivation,25.543764958642175,3
E02001277,Broadheath & Firsway,Living Environment,3.8589199699215815,28
E02001278,West Timperley,Barriers to Housing and Services,9.299139853024307,17
E02001278,West Timperley,Crime,-0.8258845675522893,27
E02001278,West Timperley,"Education, Skills and Training",1.2132418315432447,24
E02001278,West Timperley,Employment,0.0597964265348793,24
E02001278,West Timperley,Health and Disability,-0.9004234030525721,21
E02001278,West Timperley,Income,0.06572888637648389,25
E02001278,West Timperley,Income Deprivation Affecting Children,0.06659384615384616,25
E02001278,West Timperley,Income Deprivation Affecting Older People,0.06699088729016786,22
E02001278,West Timperley,Index of Multiple Deprivation,4.291453024307518,26
E02001278,West Timperley,Living Environment,14.028483889202942,21
E02001279,Timperley North,Barriers to Housing and Services,7.5568705254216715,23
E02001279,Timperley North,Crime,-1.030636694575901,28
E02001279,Timperley North,"Education, Skills and Training",0.7293340614003156,27
E02001279,Timperley North,Employment,0.053034797017398515,26
E02001279,Timperley North,Health and Disability,-1.254681956073292,26
E02001279,Timperley North,Income,0.04626489503701007,28
E02001279,Timperley North,Income Deprivation Affecting Children,0.04391423766816144,28
E02001279,Timperley North,Income Deprivation Affecting Older People,0.04979560649474689,27
E02001279,Timperley North,Index of Multiple Deprivation,2.6359321684261614,28
