area_code,area_name,period,n,group
E08000001,Bolton,2018-10-01,257,Electric vehicles
E08000002,Bury,2018-10-01,293,Electric vehicles
E08000003,Manchester,2018-10-01,449,Electric vehicles
E08000004,Oldham,2018-10-01,195,Electric vehicles
E08000005,Rochdale,2018-10-01,247,Electric vehicles
E08000006,Salford,2018-10-01,311,Electric vehicles
E08000007,Stockport,2018-10-01,522,Electric vehicles
E08000008,Tameside,2018-10-01,197,Electric vehicles
E08000009,Trafford,2018-10-01,465,Electric vehicles
E08000010,Wigan,2018-10-01,324,Electric vehicles
E08000001,Bolton,2018-07-01,238,Electric vehicles
E08000002,Bury,2018-07-01,250,Electric vehicles
E08000003,Manchester,2018-07-01,425,Electric vehicles
E08000004,Oldham,2018-07-01,196,Electric vehicles
E08000005,Rochdale,2018-07-01,232,Electric vehicles
E08000006,Salford,2018-07-01,293,Electric vehicles
E08000007,Stockport,2018-07-01,480,Electric vehicles
E08000008,Tameside,2018-07-01,185,Electric vehicles
E08000009,Trafford,2018-07-01,448,Electric vehicles
E08000010,Wigan,2018-07-01,305,Electric vehicles
E08000001,Bolton,2018-04-01,224,Electric vehicles
E08000002,Bury,2018-04-01,226,Electric vehicles
E08000003,Manchester,2018-04-01,398,Electric vehicles
E08000004,Oldham,2018-04-01,178,Electric vehicles
E08000005,Rochdale,2018-04-01,210,Electric vehicles
E08000006,Salford,2018-04-01,270,Electric vehicles
E08000007,Stockport,2018-04-01,429,Electric vehicles
E08000008,Tameside,2018-04-01,170,Electric vehicles
E08000009,Trafford,2018-04-01,402,Electric vehicles
E08000010,Wigan,2018-04-01,296,Electric vehicles
E08000001,Bolton,2018-01-01,207,Electric vehicles
E08000002,Bury,2018-01-01,263,Electric vehicles
E08000003,Manchester,2018-01-01,376,Electric vehicles
E08000004,Oldham,2018-01-01,170,Electric vehicles
E08000005,Rochdale,2018-01-01,195,Electric vehicles
E08000006,Salford,2018-01-01,260,Electric vehicles
E08000007,Stockport,2018-01-01,398,Electric vehicles
E08000008,Tameside,2018-01-01,155,Electric vehicles
E08000009,Trafford,2018-01-01,359,Electric vehicles
E08000010,Wigan,2018-01-01,281,Electric vehicles
E08000001,Bolton,2017-10-01,183,Electric vehicles
E08000002,Bury,2017-10-01,354,Electric vehicles
E08000003,Manchester,2017-10-01,342,Electric vehicles
E08000004,Oldham,2017-10-01,159,Electric vehicles
E08000005,Rochdale,2017-10-01,176,Electric vehicles
E08000006,Salford,2017-10-01,241,Electric vehicles
E08000007,Stockport,2017-10-01,343,Electric vehicles
E08000008,Tameside,2017-10-01,147,Electric vehicles
E08000009,Trafford,2017-10-01,332,Electric vehicles
E08000010,Wigan,2017-10-01,256,Electric vehicles
E08000001,Bolton,2017-07-01,176,Electric vehicles
E08000002,Bury,2017-07-01,330,Electric vehicles
E08000003,Manchester,2017-07-01,295,Electric vehicles
E08000004,Oldham,2017-07-01,149,Electric vehicles
E08000005,Rochdale,2017-07-01,169,Electric vehicles
E08000006,Salford,2017-07-01,235,Electric vehicles
E08000007,Stockport,2017-07-01,328,Electric vehicles
E08000008,Tameside,2017-07-01,137,Electric vehicles
E08000009,Trafford,2017-07-01,310,Electric vehicles
E08000010,Wigan,2017-07-01,243,Electric vehicles
E08000001,Bolton,2017-04-01,163,Electric vehicles
E08000002,Bury,2017-04-01,257,Electric vehicles
E08000003,Manchester,2017-04-01,270,Electric vehicles
E08000004,Oldham,2017-04-01,145,Electric vehicles
E08000005,Rochdale,2017-04-01,149,Electric vehicles
E08000006,Salford,2017-04-01,231,Electric vehicles
E08000007,Stockport,2017-04-01,282,Electric vehicles
E08000008,Tameside,2017-04-01,115,Electric vehicles
E08000009,Trafford,2017-04-01,273,Electric vehicles
E08000010,Wigan,2017-04-01,221,Electric vehicles
E08000001,Bolton,2017-01-01,158,Electric vehicles
E08000002,Bury,2017-01-01,244,Electric vehicles
E08000003,Manchester,2017-01-01,255,Electric vehicles
E08000004,Oldham,2017-01-01,140,Electric vehicles
E08000005,Rochdale,2017-01-01,131,Electric vehicles
E08000006,Salford,2017-01-01,224,Electric vehicles
E08000007,Stockport,2017-01-01,247,Electric vehicles
E08000008,Tameside,2017-01-01,105,Electric vehicles
E08000009,Trafford,2017-01-01,245,Electric vehicles
E08000010,Wigan,2017-01-01,208,Electric vehicles
E08000001,Bolton,2016-10-01,144,Electric vehicles
E08000002,Bury,2016-10-01,194,Electric vehicles
E08000003,Manchester,2016-10-01,231,Electric vehicles
E08000004,Oldham,2016-10-01,135,Electric vehicles
E08000005,Rochdale,2016-10-01,118,Electric vehicles
E08000006,Salford,2016-10-01,206,Electric vehicles
E08000007,Stockport,2016-10-01,221,Electric vehicles
E08000008,Tameside,2016-10-01,95,Electric vehicles
E08000009,Trafford,2016-10-01,209,Electric vehicles
E08000010,Wigan,2016-10-01,178,Electric vehicles
E08000001,Bolton,2016-07-01,134,Electric vehicles
E08000002,Bury,2016-07-01,186,Electric vehicles
E08000003,Manchester,2016-07-01,229,Electric vehicles
E08000004,Oldham,2016-07-01,131,Electric vehicles
E08000005,Rochdale,2016-07-01,113,Electric vehicles
E08000006,Salford,2016-07-01,202,Electric vehicles
E08000007,Stockport,2016-07-01,203,Electric vehicles
E08000008,Tameside,2016-07-01,89,Electric vehicles
E08000009,Trafford,2016-07-01,192,Electric vehicles
E08000010,Wigan,2016-07-01,167,Electric vehicles
E08000001,Bolton,2016-04-01,124,Electric vehicles
E08000002,Bury,2016-04-01,208,Electric vehicles
E08000003,Manchester,2016-04-01,208,Electric vehicles
