wd18cd,wd18nm,lad18cd,lad18nm,Index of Multiple Deprivation,Barriers to Housing and Services,Crime,"Education, Skills and Training",Employment,Health and Disability,Income,Income Deprivation Affecting Children,Income Deprivation Affecting Older People,Living Environment
E05000678,Radcliffe East,E08000002,Bury,30.1,12.6,1,26.8,0.1,0.6,0.2,0.3,0.1,25.8
E05000662,Hulton,E08000001,Bolton,29.7,13.2,1.2,21.8,0.1,0.5,0.2,0.2,0.2,24
E05000743,East Middleton,E08000005,Rochdale,29.7,18.4,0.8,26.6,0.1,0.8,0.2,0.2,0.2,19.9
E05000726,Failsworth West,E08000004,Oldham,29.5,9.5,1,31.1,0.1,0.7,0.2,0.2,0.1,28
E05000772,Swinton North,E08000006,Salford,29.5,13.7,0.4,27.2,0.1,0.8,0.2,0.2,0.2,23.1
E05000797,Reddish North,E08000007,Stockport,29.4,13.9,0.5,28.7,0.1,0.7,0.2,0.2,0.2,29.8
E05000864,Worsley Mesnes,E08000010,Wigan,29.4,12.6,0.4,32.6,0.1,0.8,0.2,0.2,0.2,9.2
E05000788,Edgeley and Cheadle Heath,E08000007,Stockport,29.1,10.3,1,21.6,0.1,0.8,0.2,0.2,0.2,34.6
E05000752,North Middleton,E08000005,Rochdale,29,15.2,0.7,30.2,0.1,0.7,0.2,0.2,0.2,19.3
E05000770,Ordsall,E08000006,Salford,29,26.6,0.7,24.1,0.1,0.9,0.1,0.3,0.4,34.7
E05000844,Atherleigh,E08000010,Wigan,28.9,14.1,0.8,28.6,0.1,0.7,0.2,0.2,0.2,17.2
E05000773,Swinton South,E08000006,Salford,28.4,14.9,0.5,24.1,0.1,0.9,0.2,0.2,0.2,25.7
E05000745,Hopwood Hall,E08000005,Rochdale,28.3,18.4,0.8,28.6,0.1,0.5,0.2,0.2,0.2,15.1
E05000804,Denton North East,E08000008,Tameside,28.3,18.7,0.9,27.1,0.1,0.6,0.1,0.2,0.1,29.6
E05000808,Droylsden West,E08000008,Tameside,28.3,10.3,0.7,31,0.1,0.7,0.2,0.2,0.2,26.7
E05000862,Wigan West,E08000010,Wigan,28.2,8.6,0.7,28.8,0.1,0.7,0.2,0.2,0.2,19.9
E05000764,Eccles,E08000006,Salford,27.9,16.6,0.7,13.3,0.1,0.8,0.2,0.1,0.2,25.2
E05000666,Smithills,E08000001,Bolton,27.8,9.5,0.8,19.7,0.1,0.4,0.2,0.2,0.2,32.5
E05000736,Shaw,E08000004,Oldham,27.7,14.1,0.9,22.5,0.1,0.7,0.1,0.2,0.2,24
E05000810,Dukinfield Stalybridge,E08000008,Tameside,27.5,12.8,0.7,24.2,0.1,0.7,0.1,0.2,0.2,18.1
E05000725,Failsworth East,E08000004,Oldham,27.4,9.7,0.8,27.5,0.1,0.6,0.1,0.2,0.2,34.7
E05000798,Reddish South,E08000007,Stockport,27.3,10.8,0.7,22.1,0.1,0.6,0.2,0.2,0.2,31.8
E05011376,Piccadilly,E08000003,Manchester,26.6,34.3,1.7,10.6,0,0.7,0,0.1,0.5,65.1
E05000762,Cadishead,E08000006,Salford,26.5,17.8,-0.1,31.3,0.1,0.9,0.1,0.2,0.2,24.5
E05000793,Manor,E08000007,Stockport,26.5,14.8,0.6,23.8,0.1,0.7,0.1,0.2,0.2,29.6
