count_point_id,region_id,region_name,local_authority_id,local_authority_name,road_name,road_category,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles
930664,5,"North West",91,Trafford,U,minor,,,374350,395750,53.45787245,-2.38776204,0.00,0.00
930663,5,"North West",91,Trafford,U,minor,,,377890,395500,53.45578660,-2.33443225,0.00,0.00
930662,5,"North West",91,Trafford,U,minor,,,372030,391220,53.41703709,-2.42229664,0.00,0.00
930105,5,"North West",91,Trafford,B5161,minor,,,376660,387150,53.38068049,-2.35233364,0.00,0.00
930103,5,"North West",91,Trafford,B5158,minor,,,374840,394620,53.44773943,-2.38029191,0.00,0.00
930102,5,"North West",91,Trafford,B5217,minor,,,381760,396020,53.46060959,-2.27618325,0.00,0.00
99518,5,"North West",91,Trafford,A576,major,A5081,"LA Boundary",378533,398000,53.47828411,-2.32492087,1.70,1.06
99515,5,"North West",91,Trafford,A5014,major,"A5063 / A5067 / A665","A56 Bridgewater Way",382000,396320,53.46331440,-2.27258590,1.00,0.62
77865,5,"North West",91,Trafford,A56,major,"LA Boundary","B5161 Bow Green Rd",374630,386250,53.37249691,-2.38277726,0.50,0.31
77864,5,"North West",91,Trafford,A6144,major,"LA Boundary","Oak Rd",371000,390000,53.40601556,-2.43768068,2.40,1.49
74005,5,"North West",91,Trafford,A6144,major,"Oak Rd",B5158,372170,391680,53.42117913,-2.42023108,4.90,3.04
73915,5,"North West",91,Trafford,A5063,major,"A56 / A5067","LA Boundary",381260,396445,53.46441198,-2.28373923,0.20,0.12
73796,5,"North West",91,Trafford,A560,major,A5144,"LA Boundary",379330,388850,53.39607263,-2.31230822,1.10,0.68
73793,5,"North West",91,Trafford,A5067,major,A5014,"LA Boundary",382710,396490,53.46486637,-2.26190132,1.00,0.62
58251,5,"North West",91,Trafford,A5014,major,A5063,A5067,381500,396100,53.46131953,-2.28010384,0.40,0.25
58022,5,"North West",91,Trafford,A56,major,M60,A5181,379335,393800,53.44056538,-2.31255939,0.60,0.37
57895,5,"North West",91,Trafford,A5081,major,A576,A5181,378800,396812,53.46761688,-2.32081733,0.90,0.56
57694,5,"North West",91,Trafford,A5081,major,A5181,A56,380000,396730,53.46692704,-2.30273597,2.40,1.49
56825,5,"North West",91,Trafford,A538,major,A560,A5144,377800,386980,53.37920184,-2.33518438,3.10,1.93
56566,5,"North West",91,Trafford,A56,major,A6144,M60,378377,391989,53.42424883,-2.32685595,2.30,1.43
56555,5,"North West",91,Trafford,A56,major,A560,A6144,376955,389910,53.40550149,-2.34810151,3.70,2.30
56499,5,"North West",91,Trafford,A56,major,A5014,A5081,380942,396072,53.46104785,-2.28850629,1.80,1.12
56054,5,"North West",91,Trafford,M60,major,7,6,380000,392800,53.43160280,-2.30248468,1.90,1.18
48633,5,"North West",91,Trafford,A6144,major,A6144(M),A56,377000,392600,53.42968216,-2.34762193,2.40,1.49
47749,5,"North West",91,Trafford,A5014,major,A56,A5063,381390,396020,53.46059657,-2.28175581,1.60,0.99
38661,5,"North West",91,Trafford,M60,major,9,8,377535,395000,53.45127735,-2.33974237,2.10,1.30
38053,5,"North West",91,Trafford,A5145,major,A5181,A56,379500,394440,53.44632441,-2.31011743,0.50,0.31
38044,5,"North West",91,Trafford,A560,major,A56,A538,376880,388260,53.39066735,-2.34910813,0.20,0.12
38005,5,"North West",91,Trafford,A5181,major,A5145,A5081,379010,396000,53.46032682,-2.31759949,2.50,1.55
36578,5,"North West",91,Trafford,A56,major,A5145,A5014,380000,394800,53.44957954,-2.30261250,0.90,0.56
36058,5,"North West",91,Trafford,M60,major,"LA Boundary",10,375900,396700,53.46648484,-2.36449241,1.10,0.68
28692,5,"North West",91,Trafford,A5063,major,A5014,A56,381400,396100,53.46131599,-2.28160996,0.40,0.25
28684,5,"North West",91,Trafford,A5014,major,"A5067/Talbot Place",A5067,381903,396240,53.46259199,-2.27404227,0.10,0.06
27755,5,"North West",91,Trafford,A5081,major,M60,A576,378000,396416,53.46402453,-2.33284017,1.70,1.06
26565,5,"North West",91,Trafford,A56,major,A5081/A5063,A5014,382000,396622,53.46602889,-2.27260330,1.40,0.87
18549,5,"North West",91,Trafford,A6144,major,A6144,M63,376956,393000,53.43327557,-2.34831354,2.00,1.24
17904,5,"North West",91,Trafford,A5181,major,A56,A5145,379286,394200,53.44415879,-2.31332350,0.50,0.31
17752,5,"North West",91,Trafford,A6144,major,A56,M60,379750,391400,53.41900946,-2.30615686,3.40,2.11
17730,5,"North West",91,Trafford,A6144,major,A56,M60,379970,391500,53.41991675,-2.30285308,3.20,1.99
17698,5,"North West",91,Trafford,A5145,major,A56,"LA Boundary",379980,394335,53.44539919,-2.30288388,0.90,0.56
17227,5,"North West",91,Trafford,A560,major,A538,B5165,378000,388381,53.39180304,-2.33227606,2.00,1.24
16538,5,"North West",91,Trafford,A56,major,"B5161 Bow Green Rd",A560,376000,387827,53.38673592,-2.36230688,3.10,1.93
16537,5,"North West",91,Trafford,A56,major,A5181,A5145,379431,394000,53.44236683,-2.31112736,0.60,0.37
16056,5,"North West",91,Trafford,M60,major,10,9,376940,396250,53.46248690,-2.34879376,1.50,0.93
8564,5,"North West",91,Trafford,M60,major,8,7,378714,393628,53.43899454,-2.32189613,1.50,0.93
7760,5,"North West",91,Trafford,A6144,major,B5158,A6144(M),375390,393007,53.43326738,-2.37188425,2.00,1.24
7712,5,"North West",91,Trafford,A5144,major,A538,A560,379000,388020,53.38859914,-2.31721529,2.00,1.24
7256,5,"North West",91,Trafford,A538,major,A5144,M56,380043,385412,53.36519789,-2.30136756,2.70,1.68
6554,5,"North West",91,Trafford,A5067,major,A56/A5063,A5014,381600,396300,53.46312073,-2.27860949,0.50,0.31
6059,5,"North West",91,Trafford,M60,major,6,"LA Boundary",380885,391590,53.42075985,-2.28909094,1.60,0.99
