date,latitude,longitude
"2018-11-28 15:14:36",53.421813,-2.330673
"2018-11-28 15:15:16",53.421768,-2.330325
"2018-11-28 15:19:50",53.421323,-2.329985
"2018-11-28 15:20:15",53.422037,-2.330277
"2018-11-28 15:20:25",53.422204,-2.330432
"2018-11-28 15:20:45",53.422539,-2.330599
"2018-11-28 15:20:55",53.422557,-2.330774
"2018-11-28 15:21:13",53.422697,-2.330756
"2018-11-28 15:21:25",53.422925,-2.330682
"2018-11-28 15:22:15",53.422988,-2.330984
"2018-11-28 15:22:25",53.423256,-2.331538
"2018-11-28 15:22:35",53.423492,-2.331867
"2018-11-28 15:22:40",53.423643,-2.33205
"2018-11-28 15:22:45",53.423837,-2.332222
"2018-11-28 15:22:55",53.424021,-2.332333
"2018-11-28 15:23:05",53.424196,-2.332408
"2018-11-28 15:23:10",53.424422,-2.332563
"2018-11-28 15:23:25",53.424256,-2.332388
"2018-11-28 15:23:30",53.424016,-2.332191
"2018-11-28 15:23:55",53.424122,-2.33252
"2018-11-28 15:24:05",53.424296,-2.332653
"2018-11-28 15:24:39",53.424485,-2.33275
"2018-11-28 15:25:08",53.423704,-2.333073
"2018-11-28 15:25:23",53.42378,-2.332678
"2018-11-28 15:25:47",53.423599,-2.332394
"2018-11-28 15:25:53",53.423866,-2.331475
"2018-11-28 15:30:08",53.421323,-2.330262
"2018-11-28 15:30:17",53.421126,-2.330152
"2018-11-28 15:30:45",53.422813,-2.330816
"2018-11-28 15:30:55",53.422242,-2.330737
"2018-11-28 15:31:00",53.421957,-2.330721
"2018-11-28 15:31:15",53.421769,-2.33057
"2018-11-28 15:31:30",53.422282,-2.330712
"2018-11-28 15:31:35",53.422437,-2.330699
"2018-11-28 15:31:45",53.422691,-2.330643
"2018-11-28 15:32:00",53.422481,-2.330638
"2018-11-28 15:32:23",53.422273,-2.330515
"2018-11-28 15:32:44",53.423399,-2.330877
"2018-11-28 15:32:53",53.423782,-2.331049
"2018-11-28 15:33:22",53.424035,-2.330707
"2018-11-28 15:33:52",53.423851,-2.330662
"2018-11-28 15:33:57",53.422961,-2.330711
"2018-11-28 15:34:27",53.422773,-2.330639
"2018-11-28 15:34:41",53.422594,-2.330534
"2018-11-28 15:35:02",53.42262,-2.330877
"2018-11-28 15:36:42",53.422863,-2.330733
"2018-11-28 15:37:42",53.422671,-2.330555
"2018-11-28 15:37:47",53.422468,-2.33045
"2018-11-28 15:37:52",53.422251,-2.330338
"2018-11-28 15:38:02",53.422463,-2.330455
"2018-11-28 15:38:07",53.422669,-2.330564
"2018-11-28 15:39:12",53.422822,-2.330729
"2018-11-28 15:39:47",53.423254,-2.330803
"2018-11-28 15:39:52",53.42362,-2.330917
"2018-11-28 15:39:57",53.423842,-2.330987
"2018-11-28 15:40:07",53.423643,-2.330914
"2018-11-28 15:40:22",53.423063,-2.330565
"2018-11-28 15:40:27",53.422887,-2.330445
"2018-11-28 15:40:32",53.422681,-2.330312
"2018-11-28 15:40:40",53.422495,-2.330208
