color
#6E56DC
#DE99EB
#B5E2E9
#DDE141
#E784A4
#817AA6
#E4459A
#7EF03A
#D4D2EE
#DD69AF
#AA7084
#50EBD1
#639FE5
#DE886B
#98984A
#DD70E8
#B283EE
#65EE7B
#6BE6E0
#A775BB
#8A3088
#DE7832
#7A99AA
#A4EAD5
#50A659
#6BE7AC
#E7E39A
#E4B0E0
#E5DFDE
#AAABEB
#E2AE50
#A49786
#DD4B5A
#9DEC89
#E73ED2
#A1C5A9
#71BCE5
#DFE876
#E3CAA0
#E4A2A0
#A54AE5
#A0DC50
#E9ABA2
#EA75CB
#6AD7EB
#4AA492
#772FEA
#DD3AEF
#6371D4
#D4B3C6
#B2D284
