area_code,area_name,year,electorate,ballots_issued,spoiled_ballots,percentage_turnout,conservative_vote,green_vote,labour_vote,liberal_democrats_vote,ukip_vote
E05000819,Altrincham,2018,8892,4133,257,46.5,2728,3565,1501,211,NA
E05000820,Ashton upon Mersey,2018,7617,3590,6,47.1,1677,148,1568,138,53
E05000821,Bowdon,2018,7335,3121,5,42.5,2130,169,422,356,39
E05000822,Broadheath,2018,9891,4218,5,42.6,1716,160,2077,170,56
E05000823,Brooklands,2018,7844,4080,4,52,1755,155,1939,170,55
E05000824,Bucklow-St Martins,2018,7101,2027,4,28.5,424,44,1427,38,90
E05000825,Clifford,2018,8183,3212,8,39.3,165,255,2702,82,NA
E05000826,Davyhulme East,2018,7758,3837,2,49.5,1388,100,2205,73,69
E05000827,Davyhulme West,2018,7696,3884,3,50.5,1403,71,2230,81,96
E05000828,Flixton,2018,8290,4562,2,55,1528,125,2732,84,91
E05000829,Gorse Hill,2018,8357,2799,6,33.5,485,115,2039,88,66
E05000830,Hale Barns,2018,7431,2900,6,39,1932,95,477,258,NA
E05000831,Hale Central,2018,7440,2999,7,40.3,1604,166,809,364,NA
E05000832,Longford,2018,9128,3658,8,40.1,547,238,2611,194,60
E05000833,Priory,2018,8191,3352,6,40.9,988,170,2018,170,NA
E05000834,St Mary's,2018,8597,3432,8,39.9,2053,149,1054,167,NA
E05000835,Sale Moor,2018,7632,2777,5,36.4,971,161,1433,207,NA
E05000836,Stretford,2018,7928,3130,8,39.5,490,211,2231,98,92
E05000837,Timperley,2018,8479,4204,8,49.6,1694,113,718,1329,NA
E05000838,Urmston,2018,8591,3890,7,45.3,1217,155,2243,130,138
E05000839,Village,2018,7929,3267,6,41.2,1331,73,742,1003,106
E05000819,Altrincham,2019,8867,3898,20,44,1057,2377,313,128,NA
E05000820,Ashton upon Mersey,2019,7500,3588,8,47.8,1398,273,1535,247,127
E05000821,Bowdon,2019,7242,2929,31,40.4,1727,411,351,411,NA
E05000822,Broadheath,2019,9960,4048,17,40.6,1219,346,1904,219,255
E05000823,Brooklands,2019,7735,3682,18,47.6,1295,309,1587,298,174
E05000824,Bucklow-St Martins,2019,7060,1824,16,25.8,327,134,988,76,283
E05000825,Clifford,2019,8351,3012,10,36.1,155,378,2375,93,NA
E05000826,Davyhulme East,2019,7700,3177,13,41.3,695,184,1929,102,253
E05000827,Davyhulme West,2019,7681,3197,11,41.6,965,150,1704,86,279
E05000828,Flixton,2019,8322,3787,13,45.5,915,217,2203,152,287
E05000829,Gorse Hill,2019,8391,2620,14,31.2,310,252,1703,129,212
E05000830,Hale Barns,2019,7362,2817,8,38.3,1613,196,378,313,144
E05000831,Hale Central,2019,7394,2973,29,40.2,1430,512,447,555,NA
E05000832,Longford,2019,9098,3242,32,35.6,336,406,2150,318,NA
E05000833,Priory,2019,8052,3109,11,38.6,679,404,1511,305,199
E05000834,St Mary's,2019,8611,3126,13,36.3,1527,294,920,188,184
E05000835,Sale Moor,2019,7549,2601,32,34.5,664,355,1347,203,NA
E05000836,Stretford,2019,7843,2804,12,35.8,329,304,1843,107,208
E05000837,Timperley,2019,8410,3918,23,46.6,1266,423,NA,1653,187
E05000838,Urmston,2019,8472,3394,17,40.1,724,290,1844,179,340
E05000839,Village,2019,7905,3217,18,40.7,942,196,456,1310,295
