election_date,ward_code,ward_name,candidate_surname,candidate_forenames,candidate_commonly_used_surname,candidate_commonly_used_forenames,candidate_description,political_party_uri,political_party_name,election_result,votes_won,votes_cast,eligible_electorate,turnout
2021-05-06,E05000819,Altrincham,COGGINS,Geraldine Philomena,NA,NA,Green Party,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,ELECTED,2387,4301,9189,46.8
2021-05-06,E05000819,Altrincham,MARTIN,David Harold,NA,NA,Liberal Democrats,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,NOT ELECTED,93,4301,9189,46.8
2021-05-06,E05000819,Altrincham,SLATER,Benjamin Duncan,NA,Ben,Labour Party,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,NOT ELECTED,567,4301,9189,46.8
2021-05-06,E05000819,Altrincham,ZHI,Shengke,NA,NA,The Conservative Party Candidate,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,NOT ELECTED,1227,4301,9189,46.8
2021-05-06,E05000820,Ashton upon Mersey,DWYER,Kay Georgette,NA,NA,The Conservative Party Candidate,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,NOT ELECTED,1722,4121,7699,53.5
2021-05-06,E05000820,Ashton upon Mersey,GILBERT,Shona Jane,NA,NA,Labour Party,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,ELECTED,1938,4121,7699,53.5
2021-05-06,E05000820,Ashton upon Mersey,LOVELL,Christopher John,NA,NA,Liberal Democrats,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,NOT ELECTED,122,4121,7699,53.5
2021-05-06,E05000820,Ashton upon Mersey,ROBERTSON-BROWN,Caroline Louise,NA,NA,Green Party,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,NOT ELECTED,314,4121,7699,53.5
2021-05-06,E05000821,Bowdon,GREEN,Bridget Mary,NA,NA,Green Party,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,NOT ELECTED,684,3396,7316,46.4
2021-05-06,E05000821,Bowdon,HAGUE,Thomas Robert,NA,NA,Labour Party,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,NOT ELECTED,672,3396,7316,46.4
2021-05-06,E05000821,Bowdon,MAYER,Charles William,NA,NA,Labour Party,http://search.electoralcommission.org.uk/English/Registrations/PP53,Labour Party,NOT ELECTED,471,3396,7316,46.4
2021-05-06,E05000821,Bowdon,MINIACI,Mario Emanuele,NA,NA,Liberal Democrats,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,NOT ELECTED,216,3396,7316,46.4
2021-05-06,E05000821,Bowdon,MIRZA,Mussadak,NA,NA,Conservative Party Candidate,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,ELECTED,1814,3396,7316,46.4
2021-05-06,E05000821,Bowdon,SKELTON,Martin Edward,NA,NA,Green Party,http://search.electoralcommission.org.uk/English/Registrations/PP63,Green Party,NOT ELECTED,331,3396,7316,46.4
2021-05-06,E05000821,Bowdon,TOLHURST-CLEAVER,Ludovic Edmeades Robert,NA,Ludo,Liberal Democrats,http://search.electoralcommission.org.uk/English/Registrations/PP90,Liberal Democrats,NOT ELECTED,226,3396,7316,46.4
2021-05-06,E05000821,Bowdon,WHETTON,Michael Peter,NA,NA,Conservative Party Candidate,http://search.electoralcommission.org.uk/English/Registrations/PP52,Conservative and Unionist Party,ELECTED,1763,3396,7316,46.4
